,title,text,location
0,LU asks law students to abide by exam law,"LUCKNOW: Law students of Lucknow University were told by the administration on Wednesday to ''abide by the law'' during examinations, beginning on Friday.

In an appeal to law students on Thursday, dean, faculty of law, Prof RP Singh asked students to cooperate in the peaceful conduction of the examinations as well as abstain from copying.

Furthermore, to stop ''fake students'' from appearing for examinations, all students have been asked to bring their identity cards, original fee receipts and admit cards to the examination hall. These students would be frisked before being allowed to enter the campus and and again in the classroom.

No student would be allowed to carry bags or books to the classrooms. They have been asked to peacefully allow Proctorial board members to conduct ''search operations'' and in case of a problem, they have been asked to report the matter to the authorities for a peaceful solution.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",LUCKNOW
1,UP Board rules go to waste as affiliations rise,"LUCKNOW: Despite the strict rules of the UP Board to scan the credentials of the schools before granting them affiliation, there has been an increase in the number of high-school and intermediate colleges in Lucknow district, which have procured affiliation without fulfilling the minimum prerequisites.

While in 2001-2002, the number of schools/colleges â€”students of which have appeared in the board examinations â€” were 370, in the 2002-2003 session, the number increased to 466.

There has also been a rise in the number of students in the district, who areappearing for the high school and intermediate UP Board examinations. Last year, the number of such students was 77,000 while this year, around 83,519 students are enrolled to appear in these examinations. Out of this, there are 47,310 boys and 36,209 girls. The number of examination centres last year was 119 and this year they are 127. Clearly, while the number of examinees has increased by 6,519, the number of examination centres has increased by only eight.

Significantly, as per the rules, every college should have enough space and facilities to accommodate examinees. However, with the given the ratio, it is most unlikely that the said conditions would be fulfilled. When asked about the large number of affiliations, secondary education officials said that these were schools/colleges which were granted affiliation last academic year, as this year, after imposing the strict rules, only a few schools were affiliated. They said that if anybody has any objection against these schools, which have been made examination centres for this session, he/she may lodge it by November 25.

A Total of nine schools, which were made examination centres last year, do not figure in the list of centres declared by the UP Board as centres on Wednesday. While one school has voluntarily opted itself out, six colleges have not been included in the final list because as per the new rules, they failed to enrol their students for the board examination for the last three consecutive years. One inter-college was debarred due to complaints.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",LUCKNOW
2,Mumbai varsity to reconsider govt demand for land,"MUMBAI: Under pressure from the state government, Mumbai university has decided to reconsider the stateâ€™s demand to give up 700 acres of land in its Kalina campus for constructing a road that will mainly benefit a high-profile hotel chain.

In April this year, the universityâ€™s management council rejected the governmentâ€™s request to hand over the land. The state government has, however, been flooding the university with letters and requests, asking it to review its decision. The university will now look at the demand at its next management council on November 25, vice-chancellor B.L. Mungekar said.

The university move has angered council members, who are upset that they are being asked to â€œreviewâ€™â€™ their unanimous decision taken in April. The management council had then categorically stated that university land should be used only for educational purposes. The council did not find any educational purpose in handing over the land for constructing a road, the main beneficiary of which would be Grand Hyatt hotel.

The governmentâ€™s industry and revenue departments have been shooting off missives to the university on the hotelâ€™s behalf, pointing out that Hyatt is a huge foreign direct investor in the state. The hotel project itself will bring in around Rs 620-crore investment, the departments have said time and again. University officials said Hyatt has been asking them to give up the land for over the last two years. Soon after, industries secretary V.S Dhumal and the revenue department pleaded Hyattâ€™s case with the university. In August, revenue minister Ashok Chavan called a meeting of university and hotel officials in a bid to convince the university to hand over its land.

Government officials are now saying that the land will benefit other industries that are coming up in the area and not just Hyatt.Mr Chavan also told university officials that the road had in any case been proposed in the municipal corporationâ€™s Development Plan. The university seems to have buckled under all the pressure, management council members said. â€œI am surprised that we are being asked to review our decision,â€™â€™ a management council member who requested anonymity said. Added another member, â€œWe had carefully considered the matter earlier and then said no to it.â€™â€™

The revenue ministry is said to have brought up â€œsix new pointsâ€™â€™ to the notice of university officials, which the management council has to consider now. One of these is that the university had earlier given up land for public purposes such as setting up an electric sub-station.

The revenue ministry has also taken pains to point out that university land worth lakhs of rupees has in any case been encroached upon. In a letter the ministry sent on September 2, it has said that the university neglected to check the illegal structures that have cropped up in its campus. Incidentally, one reason why university officials rejected the government demand earlier was because the road would have bifurcated the campus, creating a possibility of more encroachments.

Management council members, meanwhile, said the revenue ministerâ€™s points had already been discussed at its earlier meetings.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",MUMBAI
3,Dy CM rules out any role in Navi Mumbai mayoral poll,"MUMBAI: Deputy chief minister Chhagan Bhujbal has denied allegations that he helped Congress candidate Anil Kaushik for the mayorship of Navi Mumbai. He also denied that he was pulled up by Nationalist Congress Party (NCP) president Sharad Pawar.

Interestingly, NCP candidate Sanjay Naik, son of former minister Ganesh Naik, won the election as some Congress corportors had indulged in cross-voting. Mr Bhujbal termed the reports appearing in a section of the press as â€œkite flyingâ€™â€™ and ruled out any involvement in Navi Mumbai corporation election. â€œI was called by Sharad Pawar in Delhi on Monday. I met him to discuss arrangements for the Gujarat elections as the NCP will be fielding a few candidates. There was no reason for us to refer to Navi Mumbai election where our candidate won the battle,â€™â€™ he said. Mr Bhujbal said he was out of the country for ten days and was not in the city when the elections took place.

Meanwhile, MPCC president Govindrao Adik has ordered a probe at the organisational level to find out who were indulged in cross-voting. The Congress had 37 votes, five surplus than the required 32 votes to win the mayoral election. However, the partyâ€™s candidate got only 21 votes mainly due to cross-voting allegedly induced by money. Insiders claim that more than Rs 2 crore changed hands during the election. Mr Bhujbal has become target of disgruntled elements within the NCP since Mr Kaushik was close to him despite his affiliation to the Congress. Insiders claim that despite intervention of Mr Ganesh Naik, Mr Kaushik used to have an upper hand in local appointments of government officials in Navi Mumbai. NCP workers from Navi Mumbai had complained to Mr Pawar about the domination of Congress workers in Navi Mumbai and warned him that the party would suffer in the mayoral election if the Congress was not checked in time.

The mayoral election in Navi Mumbai was a matter of prestige and survival for Mr Ganesh Naik who had lost the last assembly election.He allegedly engineered defections to ensure victory for his son. Incidentally, relations between Mr Ganesh Naik and Mr Bhujbal, both former Shiv Sainiks, have been strained. Mr Ganesh Naik felt that he did not receive adequate support for his sonâ€™s election to the mayorâ€™s post.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",MUMBAI
4,Hoardings turn dartboard of political anger,"MUMBAI: The young man in the giant HDFC mutual fund hoarding stood overlooking the sluggish afternoon Pedder Road traffic, sublime financial freedom advertised on his face.He looked untouched by worries a few hundred feet below, until the first polythene bag of black paint exploded on his white T-shirt.

A volley of paint-bags followed, and soon a handful of people who had climbed the scaffolding were ripping the canvass with scissors and knives and smashing tubes of the back-lit hoarding with a childâ€™s enthusiasm.

On Wednesday, Samajwadi Party activists decided to advertise their anger and concern for the damage caused to the cityâ€™s environment by billboards and hoardings, marking out a couple of allegedly offending ones at Marine Drive and Pedder Road and leaving them torn, smashed and blackened.

The action started around 1 p.m. About 60 to 70 activists, led by president of the partyâ€™s youth wing Nassir Jamal, stormed the place under a huge Ericsson mobile hoarding shouting â€˜halla bolâ€™ and carrying banners that said, â€˜Hoarding hathao, parivahan bachaoâ€™ (remove hoardings, save the environment). Mr Jamal cited press reports that four trees had been chopped to allow for a better view of the billboard. He blamed the BMC for not taking action against erring hoarding owners. Among those who braved the heights and went up the scaffolding were Asif Iqbal Siddiqui, Trombay taluka president of Samajwadi Yuvjan Sabha, and Sheikh Mohammed Sadley, the taluka secretary. Both admitted they did not have training to climb tall places, but were doing it â€œjust for the partyâ€™â€™. The contingent then moved to Kemps Corner, swooped on the HDFC hoarding and shredded it.

They had the approval of some citizens. â€œI am against cutting trees and putting up hoardings in their place,â€™â€™ said Deepika Joshi, a Pedder Road resident.

Local units of the party will now follow up the anti-hoarding campaign at places like Kurla and Mankhurd. This is the first time the Samajwadi Party has embarked on a high-visibility campaign over a citycentric issue. State party chief Abu Aseem Azmi said the party felt responsible about protestingagainst the felling and the cutting of trees to accommodate business interests. Party insiders say that with the party growing in the state, it is looking at broad-basing its appeal and win over educated citizens, who are usually more responsive about such issues. However, hoarding owners are not impressed. On Wednesday, the owner of the HDFC hoarding filed a complaint at the Charni Road police station.

â€œWe would not blame a particular political party for it. But this fight against hoardings is part of a bigger game,â€™â€™ says a bitter A.V. Gopalakrishnan, director of the Mumbai Hoarding Owners Association. â€œSome people want to prosper at the cost of the hoarding media, and are lobbying hard to get their way.â€™â€™ He says hoardings are an essential feature of every big city in the world and vinyl signs are beautiful. â€œThe municipal corporation is planting trees in front of hoardings that have existed for 20-25 years and then crying foul. And why single out hoarding owners? Trees are being felled by the BEST, builders and in some cases the BMC itself,â€™â€™ he claimed.

He says Mumbai without hoardings is an elitist dream. â€œIf billboards are ugly, let us start cleaning from the ugliest and get rid of slums, beggars, filth,â€™â€™ he says. â€œInstead, a section is targeting a legitimate industry which employs lakhs of people.â€™â€™

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",MUMBAI
5,Hubli tense after communal clash,"HUBLI: Fourteen people were arrested as trouble erupted in Hubli on Wednesday when mobs of two different communities clashed over a trivial issue. The situation is under control now.

The police had to resort to lathi charge, open six rounds of fire in the air and lob tear gas shells to quell the violent mob. Two persons were injured and were admitted to the hospital.

Trouble broke out at around 6 am on Wednesday at Dhajibanpet in Hubli when members of a particular community objected to the use of loud speakers by the other community at a place of worship. The two groups entered into a pitched battle and pelted stones, bottles and other missiles. The street resembled a war zone following the violence.

Hubli-Dharwad Police Commissioner K.V. Gagandeep said that no fresh incidents had been reported since and the situation was under control.

As a precautionary measure, prohibitory orders have been clamped in Kamaripet and Town Police Station limits of Hubli till 10 am on Thursday, the Police Commissioner said.

Schools and educational institutions in Dhajibanpet and Kamaripet declared a holiday. However, they would be open on Thursday. Armed police have been deployed in sensitive areas and patrolling has been intensified in Hubli.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",HUBLI
6,CM rules out Kolathur Mani's release,"BANGALORE: Ruling out Veerappanâ€™s demand of jailed Tamil activist Kolathur Mani as negotiator for hostage H. Nagappaâ€™s release, Chief Minister S.M. Krishna on Wednesday held out the olive branch of a ""free and fair trial"" if the brigand surrenders.

Responding to a resolution â€” passed by an unprecedented all-caste pontiffs meet â€” demanding Mani as Karnatakaâ€™s emissary, Krishna said: ""If all it required was an order to release Mani from jail, I would have done it long ago. But not only is it not possible, but itâ€™s also not justifiable.""

Hinting that Tamil Nadu had indicated it would not withdraw its four cases against Mani, Krishna contended: ""Some legal issues are beyond us. We seek your guidance to overcome them.""

On the pontiffsâ€™ offer to make Veerappan surrender, Krishna â€” echoing his stand during the Rajkumar kidnap two years ago â€” said: ""If he surrenders, we are prepared to provide Veerappan everything the rule of law guarantees, legal assistance and other help.""

The CM urged the seers to convey this message to Veerappan. Main organiser Suttur pontiff Shivaratri Deshikendra said: ""A message in Tamil will be broadcast via All India Radio (AIR).""

Krishna said the government had many cards up its sleeve and denied there has been a ""deliberate"" delay in securing Nagappaâ€™s release. ""Who needs controversy? Who will benefit from it? Who will be happy? But, circumstances are vastly different from the time of Rajkumarâ€™s release. We need to maintain calm and pursue things actively,"" he stated.

Earlier, in a show of solidarity, a â€˜Sathvika Ottaya Samaaveshhaâ€™ (meet to exert spiritual pressure) was held marking the 88th day after Nagappaâ€™s abduction. Leading Lingayat, Vokkaliga, Jain, Brahmin, Kuruba and Backward Class pontiffs jointly demanded an early end to the crisis.

In a whoâ€™s who of Karnatakaâ€™s religious map, Siddaganga pontiff Shivakumara Swami (Lingayat), Adichunchunagiri pontiff Balagangadharanath Swami (Vokkaliga), Pejawar pontiff Vishwesha Theertha Swami (Brahmin), Kumbalgod pontiff representing Charukeerthi Bhattaraka Swami of Shravanabelagola (Jain), Tarakananda Swami of Kaginele (Kuruba) and Veerabhadra Channamalla Swami of Nedumamidi math were present.

Given that Nagappa is a Lingayat, all major Lingayat seers including Chitradurgaâ€™s Shivamurthy Murugarajendra, Gadagâ€™s Thontadarya Swami, Belimathâ€™s Shivarudra Swami, Nidasosiâ€™s Siddaganga Swami and Shivagangaâ€™s Maleya Shantashivacharya Swami participated. Hubliâ€™s Moorusaavira math seer sent a message.

Shivakumara Swami, who presided, said: ""Veerappan should have been crushed years ago. What have all successive governments been doing?""

Balagangadharanath Swami said: ""The government was preoccupied with Cauvery. Now, attention should be on getting Nagappa back.""

The Pejawar seer suggested an appeal from all pontiffs via a cassette to Veerappan. ""We are bound to find human compassion in his heart also,"" he said.

Shivaratri Deshikendra said: ""Math leaders have buried differences and come to this common platform. The CM should forget party differences and get Nagappa back.""

Though all parties were present, only Lingayat leaders â€” KPCC president Allum Veerabhadrappa and BJP former state president B.S. Yediyurappa â€” represented their parties. JD(U) leaders and Nagappaâ€™s family attended.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",BANGALORE
7,Impose President's rule in state: Bhatia,"MUMBAI: An IAS officer has demanded that Maharashtra be brought under Presidentâ€™s rule because the state is witnessing a â€œbreakdown of constitutional machineryâ€™â€™.

Arun Bhatia, a long time crusader against corruption, has pegged his demand to the Democratic Front governmentâ€™s alleged inaction even in the face of alleged proof of corruption and irregularities.

In a letter written to President A.P.J. Abdul Kalam on November 17, Mr Bhatia, who heads the Tribal Research & Training Institute in Pune, concedes that the demand is unusual because the President has restricted himself to acting only upon governorâ€™s reports. However, he adds, Article 356 can be invoked in a situation where â€œthe government of the state cannot be carried on in accordance with the provisions of the Constitutionâ€™â€™. Citing a â€œbreakdown of constitutional machineryâ€™â€™, he lists the alleged causes: â€œgalloping corruption, misuse of public funds, cheating of citizens, unequal treatment before the law, protection of crime, exploitation of the poor, failure to implement essential schemes for the poor in spite of fund availability, absence of transparency and continuing violation of the rule of lawâ€™â€™.

Urging the President to take note, the letter says, â€œThe Article empowers you to act on receiving information from any source.â€™â€™ Anticipating the governmentâ€™s defence, Mr Bhatia says it will argue that the demand is absurd â€œbecause corruption is an international phenomenon, that it can never be totally removed, that numerous offenders have been punished, that Article 356 deals only with failure to form a government or command a majority in the legislature, that if Article 356 is burdened with such a wide interpretation no government will survive, etcâ€™â€™.

This stand, Mr Bhatia contends, will be a â€œnarrow and unjustified interpretation on Article 356â€™â€™ and that, in fact, â€œthe makers of the Constitution wished to arm the President to remedy abuse of power by the executiveâ€™â€™. Moreover, he reasons, â€œWe are referring not to complaints from the public but to cases reported to the government after a preliminary investigation in which the government has not acted.â€™â€™ A collapse of governance has to be inferred when the government is indifferent even in the face of preliminary investigations and audit reports, which establish a prima facie case for action. Mr Bhatia then lists cases detected by the tribal research institute itself to prove his point: malnutrition-related deaths of children, no employment opportunities in needy areas under the employment guarantee scheme, corruption in the subsidy scheme for pregnant tribal women, corruption cases against officials (talathis and circle officers at the village and circle levels) in Pune division, corruption in the Pune and Pimpri-Chinchwad local bodies, shielding â€˜corruptâ€™ senior officers, etc.

Contending that â€œthe state government has failed to fulfil its mandate of constitutional governanceâ€™â€™, Mr Bhatia also complains of government attempts to crush his dissenting views. â€œThere is also nothing in the conduct rules of public servants which prohibits honest research,â€™â€™ he stresses. On the contrary, it was his duty as the TRTI commissioner to do this research.

â€œIf a research institute can detect corruption so easily what prevents the government from detecting and stopping corruption?â€™â€™ he asks.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",MUMBAI
8,One killed in Virgoan caste clash,"PATNA: One Dhumal Paswan of Undari village under the Gori Chak police station was killed in a firing near Virgoan between two groups of people belonging to different castes.

The police have reached the spot and further action is being taken.

Body recovered: A body of an old person was recovered from a gutter on the Ashiyana-Digha Road under the Shastri Nagar police station on Wednesday morning. The man was wearing a spotted lungi and the police feel he might have died of cold. The locals said that the man used to roam in the area like a mad man.

Criminals escape: The police failed in its attempt to arrest the notorious criminal, Sanjay Singh. Singh and other criminals fled amid several rounds of firing. According to sources, a team of policemen led by SDPO Badh Saiful Haq had gone to arrest Singh.

The police fired seven rounds while the criminal fired eight rounds. Taking help of the bamboo bush near by the criminals fled away.

Cars looted: In a loot case under the jurisdiction of Pataliputra police station on Wednesday, a Maruti Zen (BR-IQ-6601) was snatched away by the some unknown criminals. The car belongs to a doctor of Kurji hospital. According to sources, four armed criminals on two motorcycles approached the car near Ursline Convent, New Pataliputra Colony and forced the doctor to come out of the car in which they drove away towards Digha Road. An FIR has been lodged at the Pataliputra police station and investigation is on.

In another incident, on Tuesday night, a Maruti car (DBC-0092) belonging to one Upendra Singh was stolen from 108, Bar Council building, Magistrate Colony. An FIR has been lodged in this connection.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",PATNA
9,'Quran contains scientific principles',"HYDERABAD: The Holy Quran, which was bestowed on man during the month of R a m z a n about 1,400 years ago, has a scientific outlook and if studied carefully would reveal numerous scientific facts and principles. These can unravel the mysteries of not just the universe but the functioning of nature and humans too.

At a discourse, ''Commemoration of Quran: Quran and Scientific Facts'' organised by the Muslim Girls Association at Nafees Manzil on Wednesday, convener of the programme Munnawar Sultana said there are numerous Aayaths (verses) in the Quran which speak of what are now called ''scientific discoveries and facts''.

For instance, one of the Aayaths, says ''He has created you in the mother''s womb in three kinds of darkness. Passing from one genesis to the next...''. ""Science now tells us that the foetus is enveloped in three different tissues,â€� she pointed out.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",HYDERABAD
