,title,text,location
0,Cong to protest against elections,"ahmedabad: the gujarat pradesh congress committee has decided to lodge a protest before the chief electoral officer against holding of assembly elections in the state till the law and order is restored. gujarat congress chief amarsinh chaudhary told a press conference on monday that it would be the congress'' demand that there should be no elections till the two lakh people now lodged in relief camps went back home and they got security at their houses. ""today two lakh people are in relief camps and they don''t have identity cards or ration cards and since they will not go home, they will keep away from voting,"" he pointed out. chaudhary criticised the bjp for deciding to hold elections ""over the corpses of riot victims"" and reiterated that the congress was ready to go to polls even tomorrow if it was declared. ""even a kid knows that the chief minister narendra modi has initiated these riots and caused destruction worth crores in the state, only to get back to power,"" chaudhary said. announcing a series of ''dharna'' programmes focused on ''remove modi'' campaign, chaudhary said the first dharna would be held opposite the sabarmati ashram. he said, ""if they don''t give us permission, we will court arrest and continue with our agitation."" the agitational programmes will go on till may 21, the birth anniversary day of former prime minister rajiv gandhi.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",ahmedabad
1,"SC notice to Centre, Modi on riots","new delhi: the supreme court on monday issued notices to the centre, gujarat chief minister narendra modi, the vishwa hindu parishad and the bharatiya janata party on a petition seeking appointment of a special investigating team (sit) to probe into the communal riots in the state and fix responsibility of the state government and police officials. a bench comprising chief justice s p bharucha, justices s v patil and h k sema also issued notices to the state government and its director general of police on the petition filed by mallika sarabhai, digant oza and indukumar jani. the petitioners sought quashing of the gujarat governmentâ€™s notification appointing retired high court judge k g shah to probe the riots. they have also sought an appropriate direction to the nhrc to conduct the inquiry.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",new delhi
2,Modi for polls despite water crisis,"ahmedabad: though a severe water and power crisis is looming large over gujarat, chief minister narendra modi appears all set to go ahead with the elections. sources close to modi, however, admit that the hindutva wave may not be enough to ensure a smooth sailing. the severe power and water crisis, that has gripped the state, may cast a shadow over his poll prospects. an almost 2,500 mw shortfall in power in the state has led to extensive power cuts in both urban and rural areas and affected both the agriculture and industry sectors. the deteriorating situation has already raised the hackles of many with reports coming in of people attacking gujarat electricity board sub-stations in saurashtra and a delegation of the bharatiya kisan sangh (bks) meeting energy minister kaushik patel to explain their hardships. bks general secretary maganbhai patel has warned that if the state government did not take effective measures to improve the power supply position, it might launch an agitation. the water supply scene, too, is grim with no respite even for the the chief ministerâ€™s constituency. the state government admitted that there is no way rajkot can get more water this summer via the narmada canal, despite all the talk about â€˜â€˜plans having been drawn outâ€™â€™. there are also reports about a potable water crisis looming large over more than 2,000 villages of saurashtra, north gujarat and panchmahals. ahmedabad and vadodara, too, are inching towards a crisis. the worst-affected districts include rajkot, bhavnagar, amreli and jamnagar in the saurashtra region. banaskantha, patan and mehsana in north gujarat and panchmahals, too, will bear the brunt of drinking water shortage. water supply minister narottam patel, who is believed to have been told by modi to ensure that rajkot should get enough water this summer from the narmada, said: â€˜â€˜while the actual requirement of rajkot is 120 million litres per day (mgd), it cannot take more than 85 mgd because of lack of storage infrastructure.â€™â€™ supplying water to rajkot is an emotional issue for saurashtra, something the cm cannot sidestep, in view of his plans for a snap poll. on monday, modi was locked in a long gujarat infrastructure development board meeting to â€˜â€˜expediteâ€™â€™ pending roads, ports, power, it and energy sector works. in ahmedabad, a delay in maintenance work due to prolonged riots has hampered the prospects of proper water supply with the municipal corporation fearing that water supply may have to be reduced to once a day in peak summer. in vadodara, bjp city unit president shabdasharan brahmbhatt admitted that the water problem will â€˜â€˜annoyâ€™â€™ people.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",ahmedabad
3,CPI fields 3 candidates for council polls,"patna: the cpi has fielded three candidates for the teachers and graduate constituencies in the forthcoming biennial council polls. general secretary of bihar secondary teachers association kedar nath pandey has been fielded from saran teachers constituency, president bihar secondary teachers association shatrughan prasad singh from darbhanga teachers constituency and former general secretary, federation of the university service teachers association of bihar parmanand singh madan from tirhut teachers constituency. party state secretary jalalluddin ansari said the party has fielded madan prasad singh from patna graduate constituency. it has extended support to rabindra kumar singh who is contesting from kosi graduate constituency. criticising the centre, ansari expressed deep concern over the saffronisation of education. the party alleged that several research organisations including indian council of historical research (ichr) and national council for educational research and training have of late become centres of communal forces. the party criticised gujarat cm modi for failing to contain communal violence in the state. ml demand: the cpi-ml (liberation) on monday demanded the legislative assembly speaker to cancel the membership of a samata party mla bhagwan singh for his alleged involvement in the fake ta bill. the party alleged that singh withdrew the amount by allegedly producing a fake ta bill. singh produced the fake ta bill of uttaranchal, gujarat and maharashtra as part of his study tour.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",patna
4,Forces needed for council polls,"patna: advocates of patna high court have petitioned the chief election commissioner asking him to deploy para-military forces for the patna graduate constituency election scheduled to be held on may 2. the petition in the name of advocatesâ€™ association stated that a few persons who filed their nomination papers are being supported by criminals. they pointed out that rjd candidate azad gandhi had addressed a meeting at scada which was attended by rajan tiwari and munna shukla (both lodged in jail with a series of serious offences) on april 2. they also charged gandhi with taking out a procession in violation of section 144 of crpc. the advocates also complained that the samata party candidate neeraj kumar had filed his papers in the form of procession with guns. many persons supported by criminals were exhibiting arms and intimidating voters of patna. they also maintained that the votersâ€™ list was unintelligible and that patna had a history of poll violence.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",patna
5,MKVDC workers stage noisy protest,"pune: over 300 employees of the maharashtra krishna valley development corporation (mkvdc) on monday staged a noisy protest against irregular payment of salaries by banging dinner plates in front of the sinchan bhavan. the employees, who were sent on deputation to mkvdc from the irrigation department, assembled at the main gate of sinchan bhavan at mangalwar peth at 3 pm. ramesh agavane, convenor of their action committee, addressed the employees and lead them to the mkvdc office. agavane said the mkvdc was created to enable tapping of over 500 tmc water of the krishna river before the expiry of the deadline set by the bacchawat commission. the bonds floated by the mkvdc to fund irrigation projects evoked a good response. however, agavane alleged that the government unnecessarily created four more corporations in thane, nagpur, aurangabad and konkan out of ""sheer greed for money"". he pointed out that for the last two years, the government stopped paying salaries to them and instead asked the five corporations to make payments to over 1.10 lakh employees. it also did not pay a partial grant of rs 450 crore every year to each corporation to facilitate payment of salaries. the cash crunch has not only affected the payment of salaries but also badly hit many irrigation projects, agavane remarked. he said if their demands were not met, the employees would observe a pen-down agitation on april 22.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",pune
6,HC raps govt in BSEB case,"patna: a division bench of the patna high court comprising chief justice ravi s dhavan and justice shashank k singh on monday, while resuming hearing in a pil, censured the state government for not filing its reply in a case relating to irregularities in purchases made to the tune of rs 200 crore by the bihar state electricity board (bseb). the purchases were made between 1990 and 1994. the case, filed in 1994 and seeking a cbi inquiry into the purchase, was admitted by the high court then and has come up for hearing now. the petitionerâ€™s lawyer azfar hasan said a large amount of public money had been embezzled through a conspiracy and only a cbi inquiry could bring the guilty to book. he said those involved had got away in spite of glaring evidence regarding their complicity. he said that the bihar legislative council, on the question of a member, had constituted a house committee to probe the purchase of equipment made by the then bseb chairman brahmanand mandal in gross violation of rules, which warranted that the equipment be scrutinised by the central purchase committee. the council had constituted a seven member committee to inquire into the scandal. the committee had found prima facie evidence of gross irregularities in the purchase and had suggested a detailed investigation as it could not physically verify the assets in view of the mandate of the house to report within a week. the then energy minister tulsi das mehta had also accepted the irregularities in the house, he added. azfar said that the government had sacked the chairman, but it was not enough as a huge amount of public money is involved. the chairman had by-passed the central purchase committee and awarded contracts in gross violation of all norms. scams of much lesser magnitude have been handed over by the high court to the cbi, and, therefore, it was a fit case for it, he said. the bsebâ€™s counsel mihir jha, while admitting the truth of the reports, said that the chairman had already been sacked and the ball now was in the court of the government. the additional secretary of the board affirmed the affidavit earlier filed by an assistant. kumhrar site: the state government informed a division bench comprising justice dhavan and justice singh that it sanctioned rs 50 lakh for the upkeep of the kumhrar archaeological site. it released rs 10 lakh in the last fiscal itself. state government counsel alamdar hussain said that though it has taken many steps, the responsibility of preserving the site is with the the asi. blaming the centre for its mismanagement, hussain said the asi has a meagre budget of rs 80 lakh for important sites in up, uttaranchal, bihar, jharkhand and orissa and can hardly do anything meaningful. excise laws: the government informed the division bench that it has constituted a committee to examine excise laws in the state and overhaul them. the bench also noted the absence of peopleâ€™s participation in the formation of excise laws, which it termed archaic. this led to bars and toddy shops mushrooming near schools, temples and market complexes.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",patna
7,‘Adopt carrot-and-stick policy to check population growth’,"chandigarh: the haryana state commission on population, which met for the first time here on monday under the chairmanship of chief minister om prakash chautala, called for stringent measures coupled with incentives to check population growth. voicing concern over an alarming increase in population, the chief minister pointed out that â€œwe must learn from china and take stringent measures. but at the same time, there is need to reward those who have fewer children.â€� he also expressed concern over a large number of â€œunidentified â€œ migrants coming to the state and settling here as labourers. these migrants were a burden on the resources of the state, observed chautala directing his principal secretary mk miglani to take effective steps to check the their influx. vidhan sabha speaker satbir singh kadian appreciated the manner in which disincentives had been introduced in the case of panchayati raj institutions and local bodies debarring the candidates from contesting elections to these institutions if they failed to adhere to the two-child norm. he suggested that a similar norm be applicable to those contesting elections to lok sabha and assembly. state government employees should also be deprived of certain perks in case they had more than two children, kadian observed. finance minister sampat singh pleaded that a mass awareness campaign be launched in every â€œmohallaâ€� to educate the people about the urgency to adopt small family norms. minister of state for health ml ranga pointed out that although haryana constituted 1.37 per cent of the total area of the country, it had two per cent of the total population. the growing rate of literacy had certainly reduced the rate of population growth, claimed the minister adding that by rough estimates nearly 50 per cent of couples had been using contraceptives.he urged the education department to introduce sex education in schools. he further said the state policy to control population be introduced on the pattern of the national policy. pre-natal diagnostic technique (pndt) act, 1994, was being strictly enforced and almost all the 626 ultra-sound clinics had been registered till date. financial commissioner and secretary health bhagwati parshad said as per the census 2001, the population of the state was 21.08 million, showing a â€˜decadelâ€™ growth rate of 28.06 per cent. this was mainly due to the migration of people from adjoining states to the districts of panchkula, faridabad, panipat and gurgaon as these were the potential industrial belts. president of the family planning association of india pushpa khanna said information on conventional contraceptives must reach the users and males should be involved in making them popular.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",chandigarh
8,Haryana govt to pay Rs 2 lakh,"chandigarh: the punjab and haryana high court has directed the haryana government to pay rs two lakh as compensation, including an additional rs 10,000, to bala devi of panipat, whose husband randhir singh had died in the ambala central jail on november 14, 1999.the order has been passed by justice k s garewal, on a writ petition filed by bala devi, seeking an impartial and independent inquiry into the death of her husband including the registration of an fir against the jail officials. her husband had been arrested in a case, which had been registered on september 6, 1999. randhir singh had been taken into custody on october 24, 1999 and had later died in jail. justice garewal held that the accused had died due to criminal negligence, on the part of the state of haryana and its jail officials, including the superintendent of jail and his subordinate staff. while ordering compensation of rs two lakh, justice garewal also said that if the petitioner had filed a damage suit, the amount of compensation would have been adjusted against that.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",chandigarh
9,Darjeeling bandh on murder,"darjeeling: thirty-six-year-old bindu mukhia of singamari, wife of active gnlf supporter ramesh mukhia, was found dead on monday morning at 11.30 am, at her residence. she had several marks of injury at the back of her head and hands. as soon as poster was pasted at chowkbazar announcing of bandh, shutters were downed and vehicles were off ther roads. according to gnlf darjeeling branch committee president, deepak gurung, the committee called for an emergency meeting and condemned the brutal killing and has demanded immediate arrest of the culprits. although police have started investigating the incident but no arrest has been made so far.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",darjeeling
