,title,text,location
0,Tripathi's cousin arrested in Madhumita case,"NEW DELHI: The CBI on Thursday arrested two people, including cousin of former Uttar Pradesh minister Amarmani Tripathi, in connection with the Madhumita Shukla murder

case.

Santosh Rai and Rohit Chaturvedi were arrested in Lucknow by the agency sleuths. While Rai is a small-time political leader, Chaturvedi is Tripathiâ€™s cousin. The arrests were an important development in solving the murder mystery, sources said.

Tripathi had been arrested by the CBI in September in connection with the murder of 24-year-old Madhumita, who was shot dead at her Paper Mill Colony residence by two assailants on May 9 this year.

The murder had created a political furore in Uttar Pradesh leading to sacking of Tripathi from the Mayawati-led UP government. The case was later handed over to the CBI for thorough probe.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",NEW DELHI
1,No more long waits for election results,"HYDERABAD: The Assembly elections, if advanced to February next year, promises candidates at least one thing â€” that they need not wait with bated breath for the outcome as the results will be ready at the click of a button.

The Election Commission (EC) has supplied about 60,000 electronic voting machines (EVMs) to Andhra Pradesh, equivalent to number of polling stations in the state. The commission might require another 10,000 machines as a buffer if it plans to go in for 100 per cent electronic voting in the state. The additional stock is likely to be borrowed from neighbouring states.

The EVMs will enable election officials to announce the results in a couple of hours, doing away with the cumbersome process of bundling and counting ballot papers.

If polls are held after January 20, about 2 per cent of voters will be first-time voters. This is because the EC wants to complete the summary revision of the electoral rolls by then.

The commission has chalked out an elaborate programme to revise the rolls, and the process will begin on November 17, chief electoral officer (CEO) M Narayana Rao told reporters at his office on Thursday. The draft rolls will be published in the gram sabhas, where officials will receive applications for inclusion, deletion and changes in the names.

The CEO said registration as a voter is not mandatory, but inclusion of the personâ€™s name in the electoral rolls is a must to exercise franchise.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",HYDERABAD
2,SP 'ensures' victory in Parishad polls,"LUCKNOW: By nominating his own men to 2,251 posts in various local bodies, Samajwadi Party president and chief minister Mulayam Singh Yadav has apparently ensured a fool-proof victory for his party candidates in the Vidhan Parishad local bodies polls scheduled for December 1.

The deft move, which even took his opponents by surprise, with the BJP crying foul over the manner in which the sitting members (1,251 belonged to it) were unceremoniously removed, has left the SP unfazed.

All talks of violation of the model code of conduct were brushed aside by agriculture minister and SP general secretary Shivpal Singh Yadav with the observation that the ''questionable'' exercise had violated no such code of conduct.

In response to a specific query on the issue, Yadav said that the code of conduct came into existence once the notification was issued and, in this case, the same was yet to be done.

Hence, there was nothing wrong in the existing nominated members being replaced by new ones. Chief electoral officer Vijay Sharma, when asked about the violation, said the model code of conduct did not come into force in the Vidhan Parishad polls.

Confident that the scales were weighed heavily in the SP''s favour but ensuring that nothing was left to chance, the new nominated members were administered the oath of office on Thursday.

Each nagar nigam has 10, nagar palika 5 and nagar panchayat 3 nominated members. The change in the voters'' list is also expected to take place soon.

These nominated members along with the MLAs, MPs, gram pradhans, block pramukhs, zila panchayat chairman and members, nagar palika and nagar panchayat chairman, nagar pramukhs and corporators elect the Vidhan Parishad local bodies MLCs.

A total of 36 such MLCs are due to retire on January 15 2004. The Election Commission has already announced the schedule for these polls, the notification for which will be issued on Friday. The nominations will also begin the same day.

With roughly 1.13 lakh voters expected to exercise their right of franchise, around 40 to 70 votes will be affected on each seat following the new nominations.

For the SP, which already holds 12 of the 36 seats, the vital issue now is appeasing its two main allies, the Rashtriya Lok Dal and the Rashtriya Kranti Party, in seat allotment.

While the RKP is reportedly demanding 8 seats the RLD wants 7. The SP, according to sources, is in no mood to give beyond 2 or 3 to each.

Talks on seat allotment are currently under way with the SP likely to release the list of its candidates in a couple of days.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",LUCKNOW
3,Bengal fails to arrest school dropout,"KOLKATA:West Bengal''s reputation as a centre of education has gone for a toss if school dropout rates are anything to go by.

From 22 per cent in 2001 to 31 per cent in 2003, the dropout rate in state schools, at the plus-two level, has simply gone up. Yet, no action plan is in place to contain the trend.

A total of 3,27,469 candidates passed the Madhyamik examination in 1999, but only 2,66,397 enrolled for the Higher Secondary Examination in 2001 (dropout 22.9 per cent). The following year, 3,46,913 candidates passed Madhyamik, but only 2,70,503 candidates enrolled for HS in 2002 (dropout 28.2 per cent).

The figures for the next corresponding batches were 3,56,199 and 2,71,036 respectively (dropout 31.4 per cent).

â€œI admit that the dropout rate is high, but I donâ€™t think it is the highest in the country. The scene is worse in states like Bihar and UP,â€� said West Bengal Council for Higher Secondary Education president Jyotirmoy Mukhopadhyay. He also blamed the lack of a proper vocational education system in the state for this.

â€œWe were the first state to start the vocational stream at the plus-two level. But we received no support from the Centre or the state,â€� he added. Only 2,500 children on an average enrol for the Councilâ€™s vocational courses in agriculture, technical training and trade and commerce.

The Council has just sent a report on the dismal state of vocational education at the plus-two level to the state school education department and requested it to set up a statutory body to take it over from the Council.

It has also sent a request to the vocational education cell of the National Council of Educational Research and Training (NCERT) for financial assistance.

Owing to the socio-economic conditions, after studying up to class X, children were often sent to work to earn a living, Mukhopadhyay lamented. School education secretary T.K. Bose said, â€œThe state has not devised any policy to contain dropouts because the responsibility lies with the Madhyamik Board and HS Council, which are autonomous.â€�

Educationist Sunando Sanyal criticised the official attitude, saying, â€œThere is no reason to blame parents, because studies have shown that parents are eager to send their children to school. But look at the dichotomy â€” there are 52,000 primary schools but only 10,000 secondary schools and less than that which have HS sections.

Moreover, look at the vast difference in Madhyamik and HS syllabi. It is clear that the state does not want all its children who complete Madhyamik to go in for HS.â€�

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",KOLKATA
4,PW threat forces govt to up security for Bandaru,"HYDERABAD: Amidst reports that the Peopleâ€™s War is planning to kill Union urban development minister Bandaru Dattatreya, the state government has increased his security cover in Andhra Pradesh.

Dattatreya is currently in the Y security category, which entiles him to two personal security officers. As a Union minister, an escort is provided to him during his visits to the state.

Informed sources said the intelligence wing has been asked to ascertain the threat perception to Dattatreya and, if necessary, upgrade him to Z category.

Siraj alias Azad, a renegade naxalite captured by the Peopleâ€™s War while allegedly attempting to kill his comrades, claimed a couple of days ago that he had recced the Union ministerâ€™s house in Hyderabad at the behest of the PW leadership.

Siraj also claimed that he was an agent of the police and that he had informed some senior officials of the Peopleâ€™s War plot.

The BJP has taken the revelation seriously and demanded a probe to find out why the police did step up security to Dattatreya despite knowing of the plot.

Its state general secretary G Kishen Reddy said at a press conference, â€œThe police negligence is unpardonable because Dattatreya meets people without any security.â€�

Reacting to Sirajâ€™s confession, the government has asked the police department to enhance Dattatreyaâ€™s security cover. Dattatreya will be given a bullet-proof car and more security officers.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",HYDERABAD
5,19 charred in tea garden violence,"KOLKATA: Nineteen persons were killed in carnage on Thursday morning when tea garden workers vented their fury on a corrupt Citu leader and his henchmen.

The villain: garden leader Tarakeswar Lohar. The defiants: garden workers belonging to the same union. The police arrested 106 workers, including 25 women. The incident occurred at the Dalgaon Tea Estate under the Birpara II gram panchayat, a few kilometres from Jalpaiguri.

Around 8.00 am, garden workers mobbed Loharâ€™s house asking him why he was leasing out the badli jobs to outsiders while their families suffered.

They barged into his house, dragging out some of his henchmen who were holding a meeting. Some of the henchmen were hacked to death. Loharâ€™s bodyguard then opened fire at the mob, injuring 20-year-old student Sanik Katia. This was enough for the workers to hurl bombs at the house. The gas cylinder inside exploded and the house went up in flames.

All the workers had wanted was to get back their claim over the garden jobs that Lohar had been denying for long in collusion with some garden officials.

â€œThe workers were protesting Loharâ€™s attempts to supply outside labour against payment. Recently, about 70 vacancies were created at the garden. With most Dooars gardens in poor shape, such employment opportunities were rare and Lohar was making the most of it,â€� sources said.

Inder Hulani, company secretary of RNT Plantations, which owns the estate, said intra-union rivalry led to the tragedy.

The carnage was the worst-ever in the Dooars. A decade ago, a few workers died in a similar rivalry at Batabari Estate after being shot with poisonous arrows. The tea industry reacted with shock. â€œ cannot recall such a violent incident,â€� Indian Tea Association chairman C.K. Dhanuka said.

Though the incident took ITA and Tea Association of India officials by surprise, as most disputes are over wage arrears and involve the management, industry observers said a blow-up within labour ranks was imminent.

â€œTraditionally, badli workers are taken from the families living in the gardens. In the past year-and-a-half though, Citu and Intuc leaders have been roping in outside workers, causing resentment in the gardens,â€� they said, adding that Lohar had earned the workersâ€™ wrath despite belonging to the same Citu-affiliated Cha Bagan Mazdoor Union.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",KOLKATA
6,"Lift suspension or face strike, docs warn govt","KOLKATA: Junior doctors from all over the state decided to go on hunger strike on Friday, protesting against the suspension notice served on four interns of RG Kar Medical College on Thursday.

They even threatened an indefinite ceasework if the order was not withdrawn. The decision was taken at a late night meeting.

Earlier in the day, the health department, in a bid to pre-empt recurrence of the RG Kar fiasco, issued a fiat to the hospitals to either treat or transfer patients.

The health mandarins also wanted the college authorities to punish the interns. The Calcutta University, to which the college is affiliated, is yet to put its seal on the suspension though.

There was a low turnout of patients at the outdoor departments of state hospitals on Thursday. Officials took care that even those who came for treatment did not loiter around.

The treat-or-transfer mantra had immediate effect.

When a patient at the Calcutta Medical College ENT department was told in the afternoon the operation theatre was closed and he could not be admitted, doctors took it upon themselves to see he left the hospital at once.

â€œWe do not want to give them any time to stay here and create a ruckus. It is better that they go to another hospital,â€� a doctor said.

Even as the majority of junior doctors went on strike, those belonging to the CPMâ€™s medical wing vented their frustration against the media which they saw as the root of all evil.

Members of the Association of Health Services Doctors tried to prevent RG Kar students from meeting journalists at the hospital gate.

Merely 25 per cent of the junior doctors reported for duty. Out-patient departments suffered the most as senior doctors were summoned for crisis management in the wards.

Only two of the six junior doctors were present at the medicine outdoor of Calcutta Medical College. â€œMost of the junior doctors did not turn up, so senior doctors were summoned to control the situation. There was no problem,â€� said CMCH deputy superintendent A.N. Biswas.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",KOLKATA
7,"Stop wasting water, minister tells city","PUNE: State minister for rural development R R Patil on Thursday said irresponsible use of water in urban areas and industries should be checked as a long-term solution to combat scarcity and drought.

In an indirect reference to the excessive use of water in Pune and the fierce opposition to diverting 12 TMC water to drought-affected areas from the city, Patil asked why some people could not manage with 150 litres of water per head a day.

â€œIn a city like New York, every person gets only 95 litres of water. Why canâ€™t some people make do with 150 litres of water per head?â€� he wondered.

Patil was speaking at a function organised to hand over the Rs 2.01 lakh collected by the Pune Union of Working Journalists for the drought-affected areas in Pune to the Pune zilla parishad.

Minister of state for agriculture Dada Jadhavrao, Khed MP Ashok Mohol, ZP president Devram Lande and chief executive officer Rajendra Chavan were present. Referring to the Pune municipal corporationâ€™s failure in treating and releasing 6 TMC water for irrigation, Patil pointed out that 1 TMC water could irrigate 10,000 acres of land and provide employment to 10,000 people.

The minister said rainwater should be harvested and used for sanitation, watering gardens and washing vehicles in cities.

Patil blamed the industry for ruthless and irresponsible exploitation water, failure in treating effluents and ruining rivers by releasing untreated effluents.

â€œThe Patalganga belt in Raigad district has been ruined because of this,â€� he said. About the scarcity situation in the state, Patil said there had not been single day in the past 10 years when tanker had not been pressed into service in some part of the state. â€œ present, 1,624 tankers have been pressed into service to supply water to 5,130 villages and colonies. People in 27,000 colonies are not getting even 20 litres of water per head,â€� he remarked.

Khed MP Ashok Mohol urged Puneites to accept water cuts so that people in nearby villages could get drinking water.

â€œIn fact, Puneites should pay more attention to conserving water than opposing water cuts,â€� he remarked.

Zilla parishad chief executive officer Rajendra Chavan said the PUWJâ€™s financial aid would utilised to fit wheels on wells to help draw water.

A part of the money would also be utilised for giving hydro-fracture treatment to 600 borewells that have gone dry in the district, he said.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",PUNE
8,Bypolls in 6 panchayats soon,"BEGUSARAI: According to a poll schedule notified by the local election office, the bypolls for the post of mukhiya of six panchayats under different blocks of the district would be held on November 30.

The above posts were lying vacant following either the death of the previous incumbents due to various reasons or in light of the notification of the State Election Commission (SEC) quashing the election of two of the previous incumbents.

In the notification issued, November 11 has been fixed as the last date for filing of the nomination papers by the candidates where as the last date for withdrawing the nominations is November 13.

Candidates have been directed to file their nominations in the presence of the BDOs of the respective blocks. The panchayats for which the elections to the post will be conducted are Bhagwanpur, Birpur, Cheria Bariarpur, Dandari, Matihani and Teghra. Meanwhile, in a fresh notification issued by the SEC, the election of mukhiya of Nima Chandpura panchayat of the district has been quashed.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",BEGUSARAI
9,Good ol' coffee goes upmarket,"LUCKNOW: You''d probably fail to acknowledge its existence in your tearing hurry to get to it''s hip, upmarket cousin located right next door, but what it lacks in style, it makes up for in substance, tradition and history.

Started in 1938 the Coffee House can boast of an enchanting history - one in which, political moves and developments were dissected over cups of steaming hot coffee. Coffee then, went best with an intellectual debate topped with the whipped fervour of a literary conference.

Coffee today, for Yogesh Karar who sits sipping his mocha in the hip environs of Cafe Coffee Day, begins and ends with Barista and CCD. The Indian Coffee House is a name completely alien to him. And yes, he''s certainly not new to the City of Nawabs.

There was a time when the Indian Coffee House was almost a part of Indian politics, recounts R K Singh, the president of India Coffee Workers'' Co-operative Society Ltd. But today, if any political figure does come to the coffee shop, it''s only because of it''s historical importance.

It''s another matter of course, that the coffee at Coffee House is far cheaper than that at any of it''s hip cousins.

The most expensive coffee at the Indian Coffee House is half the price of the cheapest coffee at the other trendier coffee shops. But then again, price is not a consideration for the hip, young and upwardly mobile.

Prof Shiva Mohan, a freedom fighter, who has been visiting Indian Coffee House for more than 50 years now, plunges into nostalgia as he talks about it.

""It has been a wonderful place,"" he sighs, as he recounts the conversations that he used to have with the likes of the former Prime Minister Chandrashekhar and Dr Ram Manohar Lohia, over a cup of coffee.

Meanwhile, Afshan Anjum (16), a student of Emma Thomas College, says she wouldn''t like to go the to the Indian Coffee House simply because ""no one else does"". Divya Kesarwani (15) agrees with Afshan, and feels quite at home at CCD, even though she''s there for the first time.

And not surprisingly, the Indian Coffee House has registered a fall in sales of about 20 per cent. And forced to pull up its socks and face the competition, RK Singh reveals, that the Indian Coffee House is going to have some serious remodelling of its own.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",LUCKNOW
