,title,text,location
0,Congress focuses on LS polls,"new delhi: even as the congress central election committee is finalising candidates for the uttar pradesh assembly polls, the general message being sent out to the cadres is ''this opportunity be used to position the congress as a ruling party for the next lok sabha poll''. the party's strategy is to highlight the fact that the congress is the ruling party in as many as 11 states, and contrast their chief ministers' track record with those of the opposition-ruled states. the effort is to project the congress as the only party capable of running an effective administration and focus on the failures of the rajnath singh ministry. the congress leadership is well aware that the party is not in the race of the top slot in the electorally-crucial up in next month's assembly poll, but it feels that the party should work towards improving on past performance so that it emerges as a key player in the next lok sabha elections. party leaders said the effort is not just to win more seats but also to improve its vote share, which had dipped to a dismal 8 per cent in the last assembly election. congress leaders have, therefore, asked their workers to lead from the front, speak confidently and reach out to all sections of society. with the congress having lost its traditional vote base of the scheduled castes to the bahujan samaj party (bsp), minorities to the samajwadi party (sp) and the upper castes to the bjp, the workers have been told to work hard and woo all sections. ''no section of society is really a stranger to the congress ...we should try to win them over, including those who have not supported us in the past,'' is the message for the up elections. the fact that the congress has 11 state governments is to be used as the party's usp, particularly in up polls. this will form the thrust of the congress election campaign.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",new delhi
1,"BJP ready for UP polls, keeps cards close to chest","lucknow: state president of the bjp kalraj mishra on sunday said the names of candidates for the forthcoming assembly elections had been practically finalised but refused to divulge any further details on the plea that a final nod from the central election committee was awaited. the committee would be meeting on january 16. addressing a press conference along with chief minister raj nath singh, shortly after returning from delhi, mishra said talks with the allies were on, but did not elaborate on how many seats had been left for them . he said the bjp along with the allies would be contesting all 403 seats. he said talks with the allies had been held in a very cordial atmosphere. while stating that there could be no question of people like rajnath singh, om prakash singh or lalji tandon not getting tickets, mishra denied that he had made any statment to the effect that 30 sitting mlas or ministers had been dropped from the list of prospective candidates. he said minorities and women would be adequetly accomodated. rajnath singh, who chose to remain quiet on the issue, welcomed vibhuti prasad nishad, bsp mla from atraulia (azamgarh) into the party fold. ashok shera, son of former minister late gulab shera, also joined the party. nishad said he had been compelled to leave the bsp as tickets were being given for a price and the manuwadis were being given undue weightage. asked if samajwadi party mp sakshi maharaj would be joining the bjp, mishra said he had held talks with him but denied he would be joining the party. earlier in the day, former delhi chief minister sahib singh verma, who was in the city to address the bjp's kisan manch said he was of the opinion that registrations of madarsas, masjids and mandirs should be carried out and a check placed on the activities carried out in them. verma said the bjp had always supported a common civil code, though it was not acceptable to the opposition parties, who did not want to see muslims and hindus being at par with each other. national president of the bjp's minority commission mukhtar abbas naqvi slammed the opposition parties for linking poto and the ban on simi with the minorities. he said 96 per cent of the muslims in india were born after independence and were committed to the country. officials transferred: the uttar pradesh government on sunday transferred 21 additional district magistrates, three city magistrates and 48 deputy collectors. this was done on directives from the election commission (ec). the ec has given similar orders to punjab, uttaranchal and manipur, who are also going to the polls in february. the ec has also directed state governments that projects, which could be put off for a few days without any major inconvenience or loss, should not be undertaken. the ec has reportedly been receiving complaints from various sources about misuse of funds.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",lucknow
2,Pvt transporters demonstrate against govt,"pune: accusing the government of giving undue protection to the maharashtra state road transport corporation (msrtc), striking private transporters on monday staged strident demonstrations in front of the regional transport authority (rta) and the regional transport office (rto). hundreds of members of the maharashtra state truck, tempo, tanker, bus vahatuk mahasangh lodged strong protests against the rto's action. baba shinde, president of the mahasangh, accused the government of harassing private transporters to bring the ailing msrtc back into profits. referring to the crackdown on private operators for running buses on a stage carrier basis, shinde charged, ""the joint action by the rto and traffic police has been initiated only to give the mismanaged the msrtc a chance to revive itself financially."" reiterating that private buses were not violating any rules, shinde said the msrtc was in the red despite all the state protection because of its poor services. shinde recalled that the msrtc authorities themselves had proposed to hire private buses a few years ago. ""since the proposal failed to materialise, the msrtc officials are now putting pressure on the government to drive the private operators out of the fray,"" he alleged. in a memorandum submitted to the rto and the rta, shinde pointed out that private transporters were depositing a regular tax of rs 1.65 lakh per bus. ""the state government earns a revenue of rs 150 crore from private bus owners,"" he added. significantly, shinde also reminded the authorities of their unfulfilled assurance of constructing a central depot and four pickup points for private bus operators. despite the series of allegations and protests, the rto has clearly said that the drive against private operators would continue in accordance with the high court ruling.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",pune
3,State police force braces up for polls,"kanpur: the state police are all set for the forthcoming assembly elections. the police have on hand a well knit security plan for this and are all set to press additional para-military forces into action to avert any untoward incident. the state police have also resolved to maintain an extra watch on the madarsas along the up-nepal border. director general of police r k pandit on monday held a meeting with senior police officials of kanpur zone and discussed the apprehension of suicide attacks by terrorist groups during elections. later, talking to reporters at the circuit house here on monday, pandit said that the state police was well prepared to meet any eventuality during the polls in uttar pradesh as he apprehended that disruptive elements might try to mar the congenial atmosphere of the state during elections. however, refusing to comment on the basis of such apprehensions, the dgp said that the state police did not want to take a chance during elections. pandit revealed that with help of local and state intelligence agencies, the state police had chalked out a security plan to maintain a vigil in sensitive areas, especially on suspected and nefarious elements. the dgp further said that the centre had sent 180 companies of para-military forces for the first phase of assembly elections in the state. he added that the police would deploy 120 companies of para-military forces in the second and third phase of elections. he said that around 150 companies of pac and state forces would also be deployed to maintain law and order in the state. he said that no one would be allowed to spoil the congenial atmosphere of the state and culprits would be dealt with strictly. he said that listed criminals would be put behind the bars. pandit said that around one lakh anti-social elements had been arrested under section 107\116 of the crpc so far in kanpur region. besides, the police had booked 25 persons under the nsa, 900 under the goonda act, 130 gangsters and 1,300 persons had been identified as 'wanted' by the police. pandit said that around 17 districts in the state, including kanpur, merut, muzaffarpur, moradabad and aligarh, had been identified as hyper-sensitive.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",kanpur
4,"Cong will win civic polls, claims Kalmadi","pune: the rebellion in the congress city unit over the selection of the party candidates for the forthcoming civic polls has been nipped in the bud, rajya sabha member suresh kalmadi claimed here at a press conference on monday. he said that barring a few exceptions, a majority of the rebel congressmen have already withdrawn their nominations. according to the pmc's election office, as many as 397 candidates of the total 1,290 withdrew from the fray on monday, the last day for withdrawals. the final list of the 893 candidates will be published on january 16. some of the congress rebel candidates who have withdrawn their nominations include b.d. bhujbal, suresh dharmavat, pradeep gupta, rajendra bhutada, ravi chaudhari, raja pasalkar, aziz sayyed and yashwant mahindrakar. kalmadi said he was hopeful that the party will be able to win a two-thirds majority in the 146-member house and thus retain the hold over the pmc for the third consecutive term. meanwhile, three muslim candidates from the congress have been disqualified owing to flaws in their nomination papers. there is a growing unrest among the muslims that the congress has meted out injustice to them by nominating just six members from the community. the pune city young muslim committee had, in fact, issued a press statement warning that the committee would appeal to the community members to voice their protest against the congress. speaking on this development, kalmadi said he has appointed p.a. inamdar, a trustee of several minority community educational institutes, as the congress election campaign chief in pune. refuting the possibility of a divide in the traditional congress vote bank following the ascendancy of the nationalist congress party (ncp), kalmadi said the ncp was a spent force in pune.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",pune
5,"Sugar exporters cheating govt, alleges Sena MLC","pune: claiming it to be a rs 60-crore plus scam, shiv sena mlc kanhaiyalal gidwani has alleged that sugar exporters in the state have been inflicting heavy losses on the government and the sugar mills by clandestinely selling sugar in the domestic market. addressing a press conference here on monday, gidwani said sugar exporters in maharashtra have been evading excise duty and selling cheap sugar meant for exports in the domestic market. ""the rates of export sugar is set at rs 1,050 per quintal while the one for domestic market is rs 1,250, excluding excise duty. the exporters are diverting sugar to the domestic market because of the price difference,"" he alleged. gidwani said the exporters not only save rs 200 per quintal in the basic price under the export quota but also avoid payment of excise duty of rs 85 applicable to the domestic market. thus, the exporters make a killing of rs 285 per quintal by diverting sugar meant for exports to the domestic market, he added. elaborating on the modus operandi, gidwani said the exporters get their sugar deliberately rejected by the inspection agents at the ports. the inspection agent, hand-in-glove with the exporters, rejects the sugar for dispatch to a foreign destination on the grounds that it does not match specifications. once the sugar is rejected for exports, it is then diverted to the open market within india for freesale, he alleged. the sena legislator, who met the sugar commissioner and the central excise commissioner in pune on monday, has demanded that an inquiry be conducted to stop the loot of the exchequer and losses to sugar mills. he said the sugar commissioner has assured him that all sugar mills in the state would be asked to submit detailed records of the goods sold by them.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",pune
6,MPCB enforces bio-medical waste rules,"pune: with a view to ensure complete disposal of hospital waste, the maharashtra pollution control board (mpcb) has made it mandatory for all the 141 hospitals in the pimpri-chinchwad municipal corporation (pcmc) limits to adhere to the bio-medical waste (bmw) rules of 1998 from this year. under the new guidelines issued by the mpcb, the hospitals will have to register with the board via pcmc by paying an additional amount of rs 2,500. for the last five years, the hospitals have been paying rs 1,000 each per year to the pcmc under the bombay nursing homes registration (bnhr) act of 1949. the pcmc, in turn, provides them with an incinerator facility for disposal of waste. pcmc's chief medical officer k. nagkumar and medical director r.r. iyer said the incinerator at the yashwantrao chavan memorial hospital in pimpri had a capacity of destroying around 75 kg of hospital waste per hour. ""on an average, 600 kg hospital waste is burnt in the incinerator each day,"" the doctor said.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",pune
7,PMC mulls holding polls in all panels,"pune: the pune municipal corporation (pmc) is contemplating elections in all the 48 panels according to schedule on february 10, provided the bombay high court does not insist on the redemarcation of the 10 panels in which elections have been stayed. the high court on january 10 directed the pmc not to hold elections in the 10 panels which comprise the area of the 20 villages that have been partly or fully de-linked from the pmc. the court had ruled that the pmc should first delete the area of the de-linked villages from these 10 panels and then conduct the civic polls, on or before march 14, for the areas that remain in its jurisdiction. according to highly placed sources, the pmc has already prepared maps of these 10 panels and can identify the area that remains in the pmc's jurisdiction after deleting the areas of the villages. elaborating, a senior civic officer pointed out that if the de-linked villages like mhalunge and sus were deleted from panel number 1 (mhalunge-aundh) the boundaries of the areas that remain with the pmc can be easily worked out with the help of the maps. the only problem will be that the aundh panel will have less number of voters as compared with the other 38 panels in the city. ""if the high court does not insist on maintaining a minimum population in each panel then the pmc can hold the elections in aundh and the remaining nine panels on february 10 itself. there will be no need to wait till march."" if the proposal works out then the election process conducted so far in these 10 panels will be considered valid and the pmc will not even need to call for fresh nominations. it may be noted here that the high court order to stay the election process in these 10 panels had come on the last day of filing nominations. interestingly, as the copy of the high court order has not yet reached the pmc, the civic election office on monday accepted the withdrawals from the candidates from these 10 panels. the state election commission on monday issued a letter to the pmc asking it to stop the process of allotting symbols to candidates from these 10 panels. when this was pointed out, the officer said the work of allotting symbols can be finished in a day after the hc clears the proposal. according to the rules, every candidate contesting the civic polls must be a resident of the pmc. asked about the fate of candidates hailing from the de-linked villages, the officer said, ""in that case we will cancel their nominations and conduct the elections between those who are pmc residents.""

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",pune
8,180 companies of Central forces for 1st phase of polls,"lucknow: principal secretary, naresh dayal on monday said the centre had agreed to give 180 companies for the first phase and 300 companies each for the second and third phase of elections. on his return from delhi, dayal told mediapersons that though the state had asked for more companies of central forces, it would manage to conduct the poll with the forces being provided by the centre. incidentally, compared to the last poll, the forces allotted by the centre this time would be 50 companies less. dayal said that carrying of arms or display of arms would not be allowed this time under any circumstances. he said that 44,372 licences had been impounded or deposited by the administration and non-bailable warrants had also been executed against 7,777 people. he said the government had seized arms factories too along with a large number of unlicensed arms.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",lucknow
9,Contractors fret over fate after MCH polls,"hyderabad: even as campaigning reaches its peak and citizens look forward to a mayor who would be fair and help improve the civic conditions of the city, the 1000-odd contractors at the municipal corporation of hyderabad (mch) are said to be worried about their fate after the elected body takes charge. the mch contractors claim that after the mayor and the corporators are elected, the contractors who on an average get one contract a year, would not be able to get even that. the argument of the contractors is that a corporator would spend anywhere between rs 3 to 4 lakh to get elected as a councillor. the elected representative would make all efforts to get back the money spent during the election campaign mainly by giving contracts to men of their choice. though corruption is prevalent in the mch, it would become rampant after elections, they claim. however, an mch official denied the contractors would be affected at all. the elections would make them more accountable and ensure they carry out quality work, he said. most of the contractors are not carrying out quality work now and are greasing palms of quality control cell officers and getting quality control certificates from them to get their bills passed,'' the official said. after elections, the corporator of that particular locality where work is executed would be able to question the contractor and the officer concerned if the quality of work is not up to the mark, the official said. however, the contractors have their fears. at present, we give a percentage of our profits to mps, mlas and mch officers,but when the councillors are elected, then we will have to provide a share to them too,'' one of the contractors said. on an average, the corporation contracts works worth more than rs 100 crore every year. contracted fears contractors fear they will not get work after municipal elections say corporators will favour men of their own choice there will be more accountability, say officials

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",hyderabad
