,title,text,location
0,Advani wants law to control population,"GORAKHPUR: The government is contemplating a law to control the countryâ€™s population, Deputy Prime Minister L K Advani said on way to Gorakhpur on Wednesday.

â€˜â€˜The proposed law will not allow those having more than two children to enter government jobs or contest elections,â€™â€™ he said. Advani said â€˜â€˜persuasiveâ€™â€™ methods to check population growth in the country over the past 55 years had had little success.

â€˜â€˜Just because of one bitter experience during the Emergency, it is not good to leave the idea of any legislation to check population... The government is planning to talk to other political parties to achieve a consensus on introducing a legislation,â€™â€™ Advani told reporters, accompanying him to Gorakhpur.

Later in the day, Advani had a closed-door meeting with Mahant Avaidyanath, member of the Ram Janam Bhoomi Shila Nyas, at the Gorakhnath Temple. Soon after, at a public gathering, Advani said that he was optimistic that a Ram temple will be built in Ayodhya.

Asked what was the basis of his optimism, he said: â€˜â€˜Over the past seven months, a large number of people cutting across communities had been meeting me and expressing this desire.â€™â€™

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",GORAKHPUR
1,Cyber cafe blackmailers arrested,"LUCKNOW: In a first of its kind blackmailing racket dealing in pornography being operated allegedly at a cyber cafe in Friend''s Colony of Indiranagar, the police arrested four youths from affluent families and sealed the cyber cafe on Wednesday.

The police raid, which began on a tip-off of a blackmailing racket, brought a shock for the Ghazipur police when they discovered that the cafe was also being used to blackmail many Net users who used cubicles with their partners for some ''intimate browsing''.

What added to the surprise of the police was how a teenaged girl was stripped and photographed at the cafe and then blackmailed by some youths hailing from affluent families.

SP Trans-Gomti Satyendra Veer Singh told TNN that there were reports of some shady activities at Netfun Cyber Cafe in Friend''s Colony area of Indiranagar and hence a raid was conducted. During the raid, police recovered CDs, magazines and other pornographic material from the cafe which led to the arrest of is owner Saleem Siddiqui, son of a property dealer in Bastauli area of Ghazipur.

On being interrogated, Saleem revealed that his associates Saurabh Singh, a BE student of 157 in sector B, Jai Singh of 9/95 in Kurmanchal Nagar and Rishi Srivastava of 941/2 in sector A were also hand in glove in the racket. Circle officer Gomtinagar DySP Rajeshwar Singh, who supervised the raid, said the four accused disclosed how they had stripped a teenaged girl nude in a cubicle at the cafe and photographed her.

The girl was then being blackmailed. One of the accused is the son of a superintending engineer in a government department, while another''s father is a senior officer in the income tax department.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",LUCKNOW
2,'Bicycle sop will cost govt Rs 25 crore',"HYDERABAD: As a follow up to the sops announced by the government, two lakh bicycles would be distributed to girl students during the Chaduvula Pandugaâ€� programme scheduled to begin next month.

Addressing a press conference on Wednesday, employment generation minister Gopalakrishna Reddy said the government would incur total expenditure of Rs 25 crore with each bicycle costing Rs 1500. Dismissing the Congress partyâ€™s charge that the government had neglected womenâ€™s welfare, Gopalakrishna Reddy said the DWCRA movement in Andhra Pradesh was an example of empowering women and had produced the best results in the country.

The minister said that the government had released Rs 445 crore as revolving fund in the current year in addition to the Rs 135 crore released by the Centre. He said that technical development centres would be opened in all districts with KU band facility for interaction and training of DWCRA groups. Information minister S Chandramohan Reddy said the government would request the Reserve Bank India to change the guidelines to enable self-help groups earn more interest on their savings.

He listed the various development programmes initiated by the government under the Velugu programme and assured to make public the financial details of the programme. The government committed to the development of poor, he said. The chief executive officer of Velugu programme P Vijaykumar and chief executive officer employment generation C S Ramalakshmi also participated.



FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",HYDERABAD
3,"Thanks to rain, farming activity picking up","MYSORE: Following rains in the catchment areas of Krishnarajasagar, Harangi and Kabini dams in the last two days, inflow into these reservoirs has increased much to the relief of the farming community and water resources department authorities.

Also, it has accelerated farming activities in the district in the rain-fed area. Over the last two days, inflow into Krishnarajasagar increased by almost doubled from about 2,000 cusecs to 3,442 cusecs as on Wednesday, while Kabini is receiving 5,981 cusecs and Harangi 1,477 cusecs.

Even though water is being released into canals from the Krishnarajasagar dam, water discharge quantity from the Kabini is 400 cusecs. Elated by the rains and indications that they will get water for their farming activities, farmers in the district have taken up sowing in their fields.

Joint director of Agriculture A.R. Krishnaiah told The Times of India that seeds had been sowed in about 1.71 lakh hectres in the district. â€œIt is about 64 per cent,â€™â€™ he said. Last year in the corresponding period about 1.48 lakh hectres had been sowed, he noted. Initially farmers took up farming activities in March-April due to rainfall. But afterwards the monster drought cast its shadow on the farming activities forcing even Karnataka government to officially throw up its hands in despair. It even sought divine intervention praying for bountiful shower.

About 1.5 lakh hectres in the district depends on canals for irrigation, the joint director noted. But following monsoon rains, things seems to be heading in the right direction since of the 2.7 lakh hectres, seeds have been sowed in 1.7 lakh hectres, he noted adding that the rain will help standing crops as well as help in furthering sowing. While Krishnarajanagar taluk recorded only 24 per cent sowing, which is lowest in the district, Periyapatna recorded 86 per cent, the highest in the district.

Mysore taluk also recorded only 33 per cent sowing while it was 22 percent in Tirumalakudlu Narasipur, 78 per cent in Heggadadevnakote taluk and 68 per cent in Hunsur, Krishnaiah said. However, the cumulative rainfall till July 14 was below average in the district. The district should have received 346.9 mm rainfall. But it has recorded only 239.2 mm till Monday. But when compared to corresponding period last year it is far better as last year the district recorded 191.5 mm rainfall.

But the worrying factor is that the water level in both Kabini and Harangi is low compared to corresponding period last year. While Kabini storage level was 2281 ft last year, this year it is low by about 13 ft. Since water inflow is increasing with inflow crossing 5,000 cusecs mark it is expected that storage level will increase. Also following demand for framers, the Irrigation Consultative Committee (ICC) of Kabini has been convened this Saturday to decide about discharge into canals including Rampura and Hulahalli. Water resources department authorities said rainfall in entire Madikeri district had picked up resulting in increase in inflow to Harangi and Krishnarajasagar.

Harangi recorded inflow of 1,477 cusecs while water storage level was 2828 ft. They also heaved a sigh of relief as water table was gradually increasing in three major reservoirs of Cauvery basin. Cauvery Command Area Development Authority (CADA) chairman H. Srinivas has already clarified that unless water level in Krishnarajasagar - the lifeline of farmers in Cauvery basin reaches 105 ft - water for irrigation purpose will not be made available.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",MYSORE
4,Nargund bandh gets total response,"NARAGUND, Gadag: The Nargund bandh call given by the Kalasa Bandur Nala Horata Samiti met with success as all business establishments and educational institutions remained closed on Wednesday.

The samiti, which is fighting for linking Kalasa and Bandur canals to Malaprabha. Hundreds of farmers participated in a procession, which began from Udachamma temple in Dandapur. The protesters submitted a memorandum to the tahasildar later. Addressing a large gathering, convener of the samiti, Vijay Kulkarni alleged that the state government was dilli-dallying to implement the scheme which will benefit thousands of farmers.

The project, when completed, would help the farmers of Malaprabha command area which includes Savadatti, Ramadurg, Badami, Dharwad, Navalgund, Ron and Naragund taluks, besides ensuring adequate water supply to twin cities of Hubli-Dharwad from Malaprabha reservoir.

All India Progressive Janata Dal leader and member of samiti N.H. Konareddy told The Times of India that the state government was not making any efforts to convince the Centre about the importance and urgency of implementing the project. The state has earmarked Rs 15 crore for the project but the Union department of environment has stayed the project. Konareddy alleged that chief minister S.M. Krishna deliberately ignored the project while water resources minister H.K. Patil was keen on its implementation.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram","NARAGUND, Gadag"
5,Rudy to finalise aviation policy in 3 months,"NEW DELHI: Civil Aviation Minister Rajiv Pratap Rudy has decided to formalise the long-in-the-making civil aviation policy within the next three months.

The minister has appointed a high-level committee under the chairmanship of Naresh Chandra, to revive the policy, which has been held up in a draft stage for the past four years.

The committee will include HDFC''s Deepak Parekh, Pranab Sen and civil aviation secretary K Roy Paul as members.

The committee will also look at restructuring the airport infrastructure in India besides looking at increasing regional air-connectivity and making air travel more affordable in India, Rudy said. The policy will also look at the issues of social routes and air traffic control upgradation.

The committee will prepare a road map for increasing the competitive environment in the aviation sector in India as also look at improving the efficiencies and operations of both Indian Airlines and Air-India.

It will also look at setting up an independent regulator for the sector. ""The committee will present its report in three months,"" Rudy added.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",NEW DELHI
6,Pak assails arrest of Yasin Malik,"ISLAMABAD: Criticising the arrest of JKLF chairman and Hurriyat leader Yasin Malik, Pakistan said it ""betrays"" India''s ""claim"" of seeking a peaceful settlement of the Kashmir issue.

""It also betrays the Indian governmentâ€™s claim of seeking a peaceful settlement of the Jammu and Kashmir dispute,"" the statement said urging India to put an end to its alleged harassment of All Party Hurriyat Conference leadership to facilitate a peaceful settlement of the Kashmir issue. It also asked India to ""enter into a meaningful dialogue with Pakistan for a fair settlement of the Kashmir dispute.""

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",ISLAMABAD
7,Evolve political strategy on BPO: Blackwill,"NEW DELHI: India must evolve an effective strategy to deal with the opposition in the US on business process outsourcing, since this could soon become a ""political problem"", outgoing US Ambassador to India Robert D Blackwill said here on Thursday.

""There is a sentiment in the United States about job loss (in case of increased outsourcing to India), but it is not substantial yet. This could well become a political problem and India must put in place a political strategy to deal with this situation,"" he said while speaking at his farewell organised by the Confederation of Indian Industries.

Blackwill''s remarks follow close on the heels of a proposal in four US states to ban outsourcing of processing contracts to developing nations including India.

""For example, if India could say it is importing close to what it is exporting to the United States and convey that it is helping in creating jobs there, the task of people like me, who support the outsourcing activity, to convince people back there will become easier,"" Blackwill said.

""From what I can see right now, imports from the US into India are almost flat"".

The proposed Bill, which seeks to ban outsourcing of government contracts to Asian companies, is being viewed by the Indian IT industry as a latent restriction.

Among those considering the measure to curb flight of jobs in the US are New Jersey, Maryland, Connecticut and Washington.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",NEW DELHI
8,Govt dumps its own policy on forest land,"NEW DELHI: When Madhya Pradesh Chief Minister Digvijay Singh went into meetings with Prime Minister Vajpayee and Environment Minister Baalu on Thursday, few would have predicted the outcome: A change in government policy which could even open the door to sale of land still legally defined as forest.

By evening, the Union environment ministry said it had agreed to change the legal definition of forest land where encroachment has been regularised. Instead of continuing to be legally defined as forest, this would be converted into revenue land.

This departure from policy, a clear indication of pre-poll posturing between a BJP-led Central government and a Congress-ruled state, could have major implications and see other states lining up with similar demands.

Going by the law, encroachment on forest land before 1980 can be regularised on certain conditions. But even then, the legal status of this land would continue to be defined as forest.

The aim of this clause, says an official, was to retain control, discourage encroachment and ensure land regularised for livelihood use was not exploited for commercial gain. Baalu has agreed to do away with this condition for what has already been regularised. He would presumably have to do the same for cases still pending regularisation.

Officials differ on whether this change needs Supreme Court approval or not. Some say the court, hearing cases on forests, will need to clear this; others say it will not.

The second issue, resolved in most states but lingering in MP for nearly three decades, is the conversion of forest villages into revenue villages, to enable villagers to benefit from development schemes. This is government policy but as far as environment ministry officials are concerned, MP''s backlog is its own fault. ``They had not sent proposals, they have not been following the guidelines.''''

Going by official accounts, MP used this chance to try and dereserve certain areas and get forest land converted into revenue land. In this mess, ``the basic issue remained unattended'''', says an official.

A ministry official said MP came with a list of 316 villages in 11 districts. The Centre has approved over 10,000 hectares in 94 villages over five districts and is ready to clear the case of three more districts by the month-end.

In turn, Singh offered two lollipops: One, assurances on compensatory afforestation; two, assurances on evicting encroachers from 73,000 hectares.



FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",NEW DELHI
9,Bills to increase allowances and pension of MLAs introduced,"THIRUVANANTHAPURAM: Kerala assembly on Thursday referred to the Subject Committee two bills seeking to increase monthly allowances and pension of MLAs without any amendments.

Introducing the bills, Information and Parliamentary Affairs Minister M M Hassan said increase in allowance was marginal and it should not be construed as a ""huge hike"".

He said the decision to increase the dearness and telephone allowance by Rs 1000 and travelling allowance from Rs 2.50 to Rs 4.50 per kilometres was taken after considering the overall price hike for various items in the last few years. The present hike was after a gap of six years, he added.

Justifying the increase, Hassan said salaries and allowance of MLAs in the state was less compared to what their counterparts were drawing in other states. Additional expenditure per year due to the increase was Rs 43.91 lakh.

Speaker Vakkom Purushothaman said the bills were introduced after a consensus on the issue.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",THIRUVANANTHAPURAM
