,title,text,location
0,Ex-armymen call for law against misuse of fatigues,"PUNE: The city-based Initiative for Peace and Disarmament (Inpad), an association of retired army officers, on Thursday urged the Union government to enact a law to punish the unauthorised use, possession and sale of dress material resembling army and police uniforms.

Referring to the July 22 killing near Jammu of a brigadier and the attack on Northern Army commander Lt. Gen. Hari Prasad and two other senior officials by militants in army fatigues, Inpad said the incident highlighted the blatant misuse of army uniform by terrorists.

â€œFrom the Chattisingpora massacre to the Kaluchak carnage, this (misuse of army fatigues) has been one common factor in the modus operandi of the terrorists,â€� Inpad members said in a press release here. The statement has been signed by several former high-ranking defence personnel, including foundermember of the Indian Armyâ€™s college of combat at Mhow, Indore, Lt. Gen. Eric Vas, Lt. Gen. Ashok Joshi, Major Gen. S.C.N. Jatar,Major Gen. Keshav Pendse and Col. Anil Athale.

It said that a person carrying weapons in civilian clothes would attract attention immediately, but since terrorists use army uniform, they escape attention. â€œNot just terrorists, but many private organisations too openly copy the services uniform with impunity,â€� the release said, adding that all this leads to the dilution of army prestige and creates confusion among people. Underlining the importance of enacting a stringent law to prevent the misuse of services uniforms, the release urged parliamentarians to realise the gravity of the situation and take adequate steps.

The association has suggested the use of hi-tech hologram-based badges to make copying services uniforms difficult. According to the release, a similar request was made to the Centre two years ago. â€œUnfortunately, no action has been taken so far,â€� Inpad co-ordinator Col. Anil Athale said.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",PUNE
1,Cong to organise Dalit rally,"JALANDHAR: The Congress leadership has announced that a state-level Dalit rally would be organised here on August 10 to educate the Dalit community of Punjab about the welfare schemes the Congress was implementing for improving the lot of the backward communities.

Announcing this here on Thursday, minister for local government, labour and parliamentary affairs Choudhry Jagjit Singh said rally would be addressed by CM.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",JALANDHAR
2,"Talk Tehelka, get George back, Cong tells govt","NEW DELHI: The Congress on Thursday said it would discontinue its boycott of defence minister George Fernandes if the government was willing to debate the Tehelka issue.

The Opposition, led by the Congress, has been boycotting Fernandes ever since he was reinducted into the Union cabinet in November 2001 without being exonerated by the Tehelka commission.

The Congress had declared that it would not recognise the minister, and hence, would not put questions to him or listen to him. Now, the Congress is ready for a debate so that â€˜â€˜the issue is talked outâ€™â€™ of Parliament even if the party gains little after long months of boycott.

In fact, in the last Parliament session, the party had taken disciplinary action against one of its members who had participated in a Lok Sabha debate on MiG crashes. Now, the party has taken a U-turn and underlined that the â€˜â€˜essence is that the House should have a debate on tehelkaâ€™â€™.

Asked whether the party initiated the boycott just for a parliamentary debate or on the principle that Fernandes should not be reinducted into the cabinet until the commission gave its report, party spokesman Jaipal Reddy said: â€˜â€˜Every political issue has a life span. We have exhausted it and now we have to look for parliamentary devices.â€™â€™

The Congress has not consulted other Opposition parties and it remains to be seen whether Fernandesâ€™ regional rival, Laloo Prasad Yadavâ€™s RJD and the Left parties, would agree to a â€˜â€˜you agree to a debate, weâ€™ll lift the boycottâ€™â€™ formula.

The Congress had actually derailed the earlier Venkataswami commission of inquiry into the tehelka expose by accusing Justice K Venkataswami of accepting another office of profit while conducting the tehelka probe.

Justice Venkataswami had consistently opposed former Samata Party chief Jaya Jaitlyâ€™s plea of forensic examination of the tehelka tapes.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",NEW DELHI
3,Liquor behind mass suicide in Mandya,"MANDYA: The family headâ€™s drunkenness caused the death of six women in a suicide pact at Bheemeshwari in Muthathi forest, Malavalli taluk. The bodies of the women of Honganur, Channapatana, were recovered on Wednesday at various places along the banks of Cauvery.

The deceased Parvathammani, her mother Alamelammanni, daughters Chandrikammanni, Shanthammanni, Mamathammanni, and Bhaghyammanni had entered into a pact to end their misery due to the drunkenness of the head of the family Chikkadevaraja Urs. The family is a part of a rich household in Honganur, Channapatana taluk. Chikkadevaraja Urs was the elder son of landlord Kantharaja Urs. All the property of the household was transferred to the name of younger son Muthuraja Urs. Chikkadevaraja sold whatever property he got, only to get inebriated.

Parvathammani had to do menial works to make both ends meet. Ill-fate followed them all through. Her in-laws forced for a dowry of Rs 20,000 and she had returned to her maternal house. The villagers were a worried lot when the family did not return. They launched a search for them and reached Muthathi on Tuesday. Parvathammanniâ€™s brother Shantharaja Urs lodged a missing complaint with Malavalli police. Kantharaja Urs and Chikkadevaraja Urs are absconding, while Muthuraj is in police custody.



FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",MANDYA
4,Govt announces new cane policy,"LUCKNOW: The government on Thursday announced a new cane policy under which the quota of cane farmers enrolled with cooperatives will be fixed on the basis of cane supplied to them in the last two years. The new policy formulated by the government is also based on the crushing capacity of sugar mills of the state.

Under the new policy, payment for the early varieties of cane would be made by January 31, according to cane development minister Premlalata Katiyar. Small farmers, said the minister, would be paid within 90 days of the operation of mills.

The minister stated on Thursday that the entire payment would be done through banks. She said the announced policy would remain effective till 2006, but farmers would be allowed to submit their suggestions before the final publication of the cane calender. The minister said that cane requirement for sugar mills would be fixed on the basis of cane crushed by them in the last three years.

Katiyar said the quota of cane would be given only to those farmers who possessed land and would become members of cooperative societies. The minister said that farmers would be given time to enrol themselves in cooperative societies by July 31.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",LUCKNOW
5,Villagers protest LDA's move,"LUCKNOW: Amid slogan-shouting, hundreds of villagers and farmers of Makdumpur and Maleshemau took out a procession against the LDA decision to demolish houses in these areas for Gomtinagar extension scheme.

The procession which began from Maleshemau reached the Gomtinagar railway crossing where the victims tried to block rail traffic. However, they could not do so as the police arrived on the spot. The victims demanded reasonable compensation from the LDA for demolishing the houses.

After their demand to bring LDA officials to railway crossing failed to yield any result, they blocked traffic beneath the Ambedkar bridge. Thereafter, the procession reached the LDA new building at Gomtinagar and a demonstration was staged for two hours.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",LUCKNOW
6,"Over 20,000 Cong workers court arrest","LUCKNOW: More than a hundred Congress workers led by Kush Bhargava, courted arrest , here on Thursday.

Against the anti people, anti farmer, anti student and anti youth policies of the state government and against the deteriorating law and order situation in UP, the Uttar Pradesh Congress Committee (UPCC) had launched a state wide ''jail bharo andolan'' July 21, which will go on till July 30.

As informed by the state monitoring unit setup at the UPCC headquarters on Thursday, more than 20,000 congress men and women courted arrest. More than 20 ex-ministers, 70 ex-MLAs and 25 ex-MPs and one MLA were arrested on Thursday.

In Lucknow, 300 Congressmen and women demonstrated of which 136 were arrested under the leadership of Kush Bhargava. Among those present were president, city congress committee, Lucknow, Sushil Dubey, ex-spokesman of UPCC, Ravindra.

While in Kushinagar district at Kasya, 5,000 men and women courted arrest, in Varanasi, 500 people courted arrest, but the administration sent only 73 to the jail. In Bijnaur, 1,470 courted arrest, but in Jalaun, where 1,000 people courted arrest the district administration sent only 30 to jail. In Jhansi 700, in Lakhimpur Kheri 1,200, in Balrampur 1,716, in Banda 1,780, in Fatehpur 400, in Lalitpur 361, in Etawah 300, in Hamirpur 149, in Ghazipur 777, in Sitapur 580, in Moradabad 1490, in Kanpur 2,500 and in Maharajganj 500 congress men and women courted arrest.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",LUCKNOW
7,Inter-caste marriage fund awaits govt nod,"PATNA: The welfare department has made a proposal to the tune of Rs 37 lakh for giving incentive amount of Rs 25,000 to each person who will marry in a lower caste family in the current financial year. This amount would be given as an incentive money to the people who comeunder such category.

The proposal has been sent to the cabinet for its final approval. After the cabinet approval, the amount would be allotted to each district.

The welfare minister, Pitamber Paswan, while replying to a question of B N Lal of the CPI in the Bihar Legislative Council on Thursday said that the state government provides a sum of Rs 25,000 each as an incentive money to a person who will marry in a lower caste.

He said that 79 applications from 22 districts for such a marriage is pending before the government. He said that a sum of Rs 10 lakh has already been allotted to 12 districts for such marriages. Vaishali district has been allotted a sum of Rs 2 lakh while Katihar and Patna have been given Rs 1.5 lakh each, Paswan said.

Posts vacant: The state government on Thursday conceded that out of the total sanctioned posts of 2,283 jail wardens, 776 posts are lying vacant.

Replying to a question of Mangani Lal Mandal of the Samata Party, jail minister Basawan Bhagat said that the government has decided to issue a fresh advertisement for the appointment of wardens.

Central assistance: The panchayati raj minister, Upendra Prasad Verma, said that the government has received a sum of Rs 514.82 crore as Central assistance for different departments. Replying to a question of Ganga Prasad of the BJP, Verma said that in a recent meeting with the Planning Commission, it was also agreed to provide an additional sum of Rs 400 crore to Bihar under Sam Vikas Yojana.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",PATNA
8,"Erring vehicle owners fined, says minister","PATNA: The state government on Thursday admitted that a large number of commercial vehicles operating in Patna to nearby areas are plying without any valid papers related to the tax and permit.

Transport minister Awadh Bihari Chaudhary while replying to a question of Ganga Prasad of BJP in the Bihar Legislative Council said that most of the commercial vehicles plying on Patna-Arwal, Patna-Masaurhi, Patna-Pali and Pali-Bihta violate road and permit rules.

The minister said that the department has recovered a sum of Rs 15 lakh as penalty from these vehicles in the current financial year.

FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",PATNA
9,Maruti expects 55 pc increase in exports,"NEW DELHI: India''s newly listed car giant, Maruti Udyog Ltd, expects a 55 per cent jump in export volumes in the fiscal year to March 2004 as it drives into new markets with its Alto hatchback car.

The country''s biggest carmaker has also drawn up plans to significantly boost local sales of its Alto and Wagon R compact cars and the Versa multi-purpose vehicle this year, it said in its annual report, obtained by Reuters on Thursday.

Maruti, 54.2 per cent owned by Japan''s Suzuki Motor Corp, completed a hugely successful IPO in June. It has been pushing to boost sales after three sluggish years and is cutting costs aggressively to boost profitability.

""The Alto has been a tremendous success in Europe with more than 19,000 units firm orders till August 2003 in hand,"" the company said in the report, adding Algeria and Bangladesh had also been good potential markets.

""We will be commencing exports to Middle East and Far East Asian countries and therefore the outlook for 2003/04 is very bright when we hope to touch even bigger sales of 50,000 units.""

Maruti''s exports nearly trebled in 2002/03 (April-March) to 32,240 units thanks to the success of the Alto in Europe.

The New Delhi-based automaker also said it had drawn up an ambitious growth plan to boost sales of the Wagon R by 56 per cent this year, of the Alto by 94 per cent and to treble sales of Versa, the multi-purpose vehicle.

Maruti sold about 32,000 units of the Wagon R in 2002/03, 26,000 units of the Alto and nearly 2,000 Versas. All the three models have were introduced in the past three-and-a-half years.

It said the higher sales will be achieved by making car financing more available in India through a tie-up with the country''s top commercial bank, the State Bank of India (SBI), and giving more incentives to dealers to sell cars.

SBI controls 20 per cent of India''s banking business and has a network of 9,000 branches across the country.

Maruti sees higher sales of the Wagon R, Alto and the Versa as crucial to boosting profitability since it has invested heavily in making these products locally.

Its vehicles sales rocketed 47.4 per cent in the first fiscal quarter to June 30 to 104,017 units, doing much better than its forecast of a 10 per cent rise in annual sales in 2003/04 made at the start of the fiscal year.



FOLLOW US ON SOCIAL MEDIA Facebook Twitter Instagram",NEW DELHI
